gao,qiong,chou,bad
gao,qiong,shuai,good
ai,qiong,chou,bad
ai,fu,chou,good
ai,qiong,shuai,bad
gao,qiong,chou,bad
gao,fu,chou,good
gao,qiong,shuai,good
ai,fu,shuai,good
ai,qiong,chou,bad
ai,fu,chou,good
gao,fu,shuai,good
gao,qiong,chou,bad
gao,fu,chou,good
gao,qiong,shuai,good
ai,fu,shuai,good
ai,qiong,chou,bad
ai,fu,chou,good
ai,qiong,shuai,bad
gao,qiong,chou,bad
gao,fu,chou,good
gao,qiong,shuai,good
ai,fu,shuai,good
ai,qiong,chou,bad
ai,fu,chou,good
ai,qiong,shuai,bad
gao,fu,shuai,good
gao,qiong,chou,bad
gao,fu,chou,good
gao,qiong,shuai,good
ai,fu,shuai,good
ai,qiong,chou,bad
ai,fu,chou,good
ai,qiong,shuai,bad
